event_time,down_time,pressure,major_axis,minor_axis,size,user
3105933800,3105933800,0.49803925,9.992772,9.992772,0.099999994,1
3105933800,3105933800,0.49411768,8.993495,8.993495,0.089999996,1
3105933800,3105933800,0.49411768,8.993495,8.993495,0.089999996,1
3105933800,3105933800,0.49803925,7.9942174,7.9942174,0.08,1
3105934000,3105933800,0.49803925,7.9942174,7.9942174,0.08,1
3105934600,3105934600,0.45098042,5.995663,5.995663,0.06,1
3105934600,3105934600,0.4431373,4.996386,4.996386,0.049999997,1
3105934600,3105934600,0.4431373,4.996386,4.996386,0.049999997,1
3105935000,3105935000,0.49803925,6.9949403,6.9949403,0.07,1
3105935400,3105935000,0.49803925,7.9942174,7.9942174,0.08,1
3105935400,3105935000,0.49803925,8.993495,8.993495,0.089999996,1
3105935400,3105935000,0.49803925,8.993495,8.993495,0.089999996,1
3105935400,3105935000,0.49803925,9.992772,9.992772,0.099999994,1
3105935600,3105935000,0.49803925,9.992772,9.992772,0.099999994,1
3105935900,3105935000,0.49411768,7.9942174,7.9942174,0.08,1
3105935900,3105935000,0.49411768,7.9942174,7.9942174,0.08,1
3105936100,3105936100,0.49803925,5.995663,5.995663,0.06,1
3105936100,3105936100,0.49411768,5.995663,5.995663,0.06,1
3105936100,3105936100,0.4901961,4.996386,4.996386,0.049999997,1
3105936100,3105936100,0.4901961,4.996386,4.996386,0.049999997,1
3105936400,3105936400,0.49803925,6.9949403,6.9949403,0.07,1
3105936400,3105936400,0.49411768,6.9949403,6.9949403,0.07,1
3105936400,3105936400,0.49411768,6.9949403,6.9949403,0.07,1
3105936600,3105936600,0.49803925,11.991326,11.991326,0.12,1
3105936600,3105936600,0.49803925,12.990603,12.990603,0.13,1
3105936600,3105936600,0.49803925,12.990603,12.990603,0.13,1
3105936600,3105936600,0.49803925,12.990603,12.990603,0.13,1
3105936600,3105936600,0.49803925,10.992049,10.992049,0.11,1
3105936600,3105936600,0.49803925,10.992049,10.992049,0.11,1
3105936600,3105936600,0.21568629,8.993495,8.993495,0.089999996,1
3105936600,3105936600,0.22352943,10.992049,10.992049,0.11,1
3105936600,3105936600,0.23137257,12.990603,12.990603,0.13,1
3105936600,3105936600,0.2392157,12.990603,12.990603,0.13,1
3105936600,3105936600,0.24705884,12.990603,12.990603,0.13,1
3105936600,3105936600,0.2509804,11.991326,11.991326,0.12,1
3105936600,3105936600,0.2509804,11.991326,11.991326,0.12,1
3105937000,3105937000,0.47058827,5.995663,5.995663,0.06,1
3105937000,3105937000,0.46274513,4.996386,4.996386,0.049999997,1
3105937000,3105937000,0.46274513,4.996386,4.996386,0.049999997,1
3105937200,3105937200,0.49803925,11.991326,11.991326,0.12,1
3105937200,3105937200,0.49803925,10.992049,10.992049,0.11,1
3105937200,3105937200,0.49803925,9.992772,9.992772,0.099999994,1
